,P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category,lat,lon
0,C-BAG-27-031,KathmanduN.P.,Kathmandu,Central,2.17,10.0,8.86,1.82,5.34,4.88,10.0,Highest,27.69411375,85.28831834642071
1,C-BAG-25-027,LalitpurN.P.,Lalitpur,Central,1.72,2.26,8.4,0.82,4.61,2.62,5.3707,Highest,27.5482923,85.32293844156553
2,C-NAR-35-005,BharatpurN. P.,Chitawan,Central,2.21,1.47,5.38,2.53,3.96,2.34,4.8083,Highest,27.7503287,85.3328491
3,C-BAG-26-012,MadhyapurThimiN.P.,Bhaktapur,Central,2.45,0.85,8.23,0.89,4.56,2.12,4.3447,Highest,27.704332,85.452118
4,C-BAG-27-028,Jorpati,Kathmandu,Central,1.91,0.87,8.86,1.82,5.34,2.07,4.2407,Highest,27.69411375,85.28831834642071
5,C-BAG-26-003,BhaktapurN.P.,Bhaktapur,Central,1.82,0.84,8.23,0.89,4.56,1.91,3.9135,Highest,27.704332,85.452118
6,W-GAN-36-050,PrithbinarayanN.P.,Gorkha,Western,3.48,0.33,6.44,5.21,5.83,1.89,3.8764,Highest,27.97746715,84.60481872992312
7,C-JAN-20-025,KamalamiN.P.,Sindhuli,Central,2.54,0.4,5.19,6.55,5.87,1.82,3.7307,Highest,27.25,86.0
8,C-JAN-20-026,Kapilakot,Sindhuli,Central,8.02,0.12,5.19,6.55,5.87,1.77,3.6294,Highest,27.25,86.0
9,C-BAG-27-033,KirtipurN.P.,Kathmandu,Central,1.35,0.67,8.86,1.82,5.34,1.69,3.4689,Highest,27.69411375,85.28831834642071
10,C-BAG-27-022,Gonggabu,Kathmandu,Central,1.62,0.56,8.86,1.82,5.34,1.69,3.464,Highest,27.69411375,85.28831834642071
11,C-BAG-27-030,Kapan,Kathmandu,Central,1.71,0.5,8.86,1.82,5.34,1.66,3.3955,Highest,27.69411375,85.28831834642071
12,C-BAG-24-065,PanautiN. P.,Kavrepalanchok,Central,3.3,0.28,6.46,3.31,4.88,1.65,3.3898,Highest,27.58333,85.66667
13,C-JAN-20-034,Mahadevsthan,Sindhuli,Central,10.0,0.07,5.19,6.55,5.87,1.61,3.307,Highest,27.25,86.0
14,C-JAN-20-024,Kalpabrishykha,Sindhuli,Central,7.1,0.1,5.19,6.55,5.87,1.59,3.2566,Highest,27.25,86.0
15,C-NAR-31-020,HetaudaN.P.,Makwanpur,Central,1.04,0.87,4.99,3.64,4.32,1.57,3.2258,Highest,27.41667,85.25
16,C-BAG-28-008,BidurN.P.,Nuwakot,Central,2.26,0.27,5.91,5.85,5.88,1.54,3.1583,Highest,27.91447,85.16478
17,W-GAN-38-001,Aabukhaireni,Tanahu,Western,4.08,0.17,6.43,4.04,5.24,1.53,3.1405,Highest,27.97364295,84.2695509
18,C-NAR-35-033,RatnanagarN.P.,Chitawan,Central,1.73,0.48,5.38,2.53,3.96,1.48,3.0392,Highest,27.7503287,85.3328491
19,C-BAG-27-016,Dhapasi,Kathmandu,Central,1.74,0.32,8.86,1.82,5.34,1.44,2.9542,High,27.69411375,85.28831834642071
20,C-BAG-27-023,Gothatar,Kathmandu,Central,2.0,0.27,8.86,1.82,5.34,1.42,2.9142,High,27.69411375,85.28831834642071
21,W-LUM-48-021,Gaidakot,Nawalparasi,Western,1.82,0.34,5.61,3.51,4.56,1.42,2.9061,High,27.65376405,84.03113665485648
22,C-BAG-24-006,BanepaN. P.,Kavrepalanchok,Central,2.28,0.25,6.46,3.31,4.88,1.41,2.898,High,27.58333,85.66667
23,C-JAN-20-013,Dadiguranshe,Sindhuli,Central,9.3,0.05,5.19,6.55,5.87,1.39,2.8516,High,27.25,86.0
24,C-BAG-27-038,Manmaiju,Kathmandu,Central,1.2,0.41,8.86,1.82,5.34,1.39,2.8434,High,27.69411375,85.28831834642071
25,C-BAG-30-035,Nilkantha,Dhading,Central,2.01,0.21,6.82,5.15,5.99,1.35,2.7773,High,28.0,84.91667
26,C-BAG-30-002,Baireni,Dhading,Central,2.97,0.14,6.82,5.15,5.99,1.35,2.7602,High,28.0,84.91667
27,C-BAG-25-023,Imadol,Lalitpur,Central,1.87,0.28,8.4,0.82,4.61,1.34,2.7515,High,27.5482923,85.32293844156553
28,C-BAG-30-013,Gajuri,Dhading,Central,3.5,0.1,6.82,5.15,5.99,1.29,2.6491,High,28.0,84.91667
29,C-BAG-30-034,Naubise,Dhading,Central,2.34,0.15,6.82,5.15,5.99,1.28,2.6219,High,28.0,84.91667
30,C-NAR-31-016,Faparbari,Makwanpur,Central,2.76,0.17,4.99,3.64,4.32,1.27,2.6037,High,27.41667,85.25
31,C-BAG-30-037,Pida,Dhading,Central,2.98,0.11,6.82,5.15,5.99,1.26,2.5936,High,28.0,84.91667
32,C-BAG-25-009,Chapagaun,Lalitpur,Central,2.58,0.17,8.4,0.82,4.61,1.26,2.584,High,27.5482923,85.32293844156553
33,C-BAG-30-018,Jogimara,Dhading,Central,4.18,0.08,6.82,5.15,5.99,1.26,2.577,High,28.0,84.91667
34,C-BAG-24-023,DhulikhelN. P.,Kavrepalanchok,Central,2.64,0.15,6.46,3.31,4.88,1.24,2.536,High,27.58333,85.66667
35,C-BAG-30-004,Benighat,Dhading,Central,3.12,0.1,6.82,5.15,5.99,1.23,2.5214,High,28.0,84.91667
36,C-NAR-35-017,Jutpani,Chitawan,Central,3.19,0.15,5.38,2.53,3.96,1.23,2.52,High,27.7503287,85.3328491
37,C-JAN-20-030,Kyaneshwor,Sindhuli,Central,3.27,0.1,5.19,6.55,5.87,1.23,2.5155,High,27.25,86.0
38,C-BAG-27-037,Mahankal,Kathmandu,Central,1.84,0.18,8.86,1.82,5.34,1.22,2.5004,High,27.69411375,85.28831834642071
39,C-BAG-26-002,Balkot,Bhaktapur,Central,2.36,0.16,8.23,0.89,4.56,1.21,2.4733,High,27.704332,85.452118
40,C-BAG-30-005,Bhumesthan,Dhading,Central,2.61,0.11,6.82,5.15,5.99,1.2,2.4597,High,28.0,84.91667
41,C-BAG-30-048,Thakre,Dhading,Central,2.85,0.1,6.82,5.15,5.99,1.2,2.4583,High,28.0,84.91667
42,C-BAG-30-016,Jeewanpur,Dhading,Central,3.07,0.09,6.82,5.15,5.99,1.18,2.4271,High,28.0,84.91667
43,C-BAG-30-026,Kumpur,Dhading,Central,2.65,0.1,6.82,5.15,5.99,1.18,2.412,High,28.0,84.91667
44,W-GAN-38-017,Devghat,Tanahu,Western,3.84,0.08,6.43,4.04,5.24,1.17,2.3917,High,27.97364295,84.2695509
45,C-NAR-35-021,Khairahani,Chitawan,Central,1.81,0.22,5.38,2.53,3.96,1.16,2.388,High,27.7503287,85.3328491
46,C-BAG-26-011,Kautunje,Bhaktapur,Central,1.71,0.2,8.23,0.89,4.56,1.16,2.3762,High,27.704332,85.452118
47,C-BAG-30-011,Dhussa,Dhading,Central,3.49,0.07,6.82,5.15,5.99,1.15,2.3684,High,28.0,84.91667
48,C-BAG-24-032,Gokule,Kavrepalanchok,Central,6.13,0.05,6.46,3.31,4.88,1.14,2.3398,High,27.58333,85.66667
49,C-BAG-30-028,Mahadevsthan,Dhading,Central,3.44,0.07,6.82,5.15,5.99,1.13,2.3151,High,28.0,84.91667
50,C-BAG-30-029,Maidi,Dhading,Central,2.51,0.09,6.82,5.15,5.99,1.12,2.3042,High,28.0,84.91667
51,C-BAG-27-024,IchangNarayan,Kathmandu,Central,1.04,0.25,8.86,1.82,5.34,1.11,2.2866,High,27.69411375,85.28831834642071
52,C-BAG-30-020,Kalleri,Dhading,Central,2.49,0.09,6.82,5.15,5.99,1.11,2.2689,High,28.0,84.91667
53,C-JAN-22-004,BhimesworN.P.,Dolakha,Central,0.86,0.23,7.53,5.86,6.7,1.1,2.26,High,27.83333,86.25
54,C-BAG-24-066,Panchkhal,Kavrepalanchok,Central,2.16,0.13,6.46,3.31,4.88,1.1,2.2573,High,27.58333,85.66667
55,C-NAR-31-032,Namtar,Makwanpur,Central,3.3,0.09,4.99,3.64,4.32,1.09,2.232,High,27.41667,85.25
56,C-NAR-31-003,Bajrabarahi,Makwanpur,Central,3.77,0.08,4.99,3.64,4.32,1.09,2.2263,High,27.41667,85.25
57,C-BAG-28-035,Kumari,Nuwakot,Central,2.44,0.09,5.91,5.85,5.88,1.08,2.2245,High,27.91447,85.16478
58,C-NAR-35-035,Shaktikhor,Chitawan,Central,3.32,0.1,5.38,2.53,3.96,1.08,2.2205,High,27.7503287,85.3328491
59,C-BAG-27-036,Mahadevathan,Kathmandu,Central,1.49,0.16,8.86,1.82,5.34,1.08,2.2185,High,27.69411375,85.28831834642071
60,C-BAG-25-029,Lele,Lalitpur,Central,3.18,0.09,8.4,0.82,4.61,1.08,2.2179,High,27.5482923,85.32293844156553
61,C-NAR-35-010,Darechok,Chitawan,Central,3.21,0.1,5.38,2.53,3.96,1.08,2.2104,High,27.7503287,85.3328491
62,C-NAR-35-007,Chainpur,Chitawan,Central,1.81,0.17,5.38,2.53,3.96,1.07,2.2006,High,27.7503287,85.3328491
63,W-GAN-36-041,Manakamana,Gorkha,Western,3.32,0.06,6.44,5.21,5.83,1.07,2.1987,High,27.97746715,84.60481872992312
64,C-NAR-31-012,Daman,Makwanpur,Central,3.29,0.09,4.99,3.64,4.32,1.07,2.1971,High,27.41667,85.25
65,C-NAR-35-004,Bhandara,Chitawan,Central,1.85,0.17,5.38,2.53,3.96,1.07,2.1864,High,27.7503287,85.3328491
66,C-BAG-27-008,Budanilkantha,Kathmandu,Central,1.42,0.16,8.86,1.82,5.34,1.06,2.1811,High,27.69411375,85.28831834642071
67,W-GAN-36-012,Bunkot,Gorkha,Western,3.21,0.06,6.44,5.21,5.83,1.06,2.1788,High,27.97746715,84.60481872992312
68,C-JAN-20-035,Mahendrajhayadi,Sindhuli,Central,3.3,0.06,5.19,6.55,5.87,1.06,2.175,High,27.25,86.0
69,C-BAG-25-035,Sainbu,Lalitpur,Central,1.27,0.2,8.4,0.82,4.61,1.06,2.1725,High,27.5482923,85.32293844156553
70,C-BAG-28-038,Madanpur,Nuwakot,Central,2.21,0.09,5.91,5.85,5.88,1.06,2.1685,High,27.91447,85.16478
71,C-BAG-24-090,UgrataraJanagal,Kavrepalanchok,Central,3.38,0.07,6.46,3.31,4.88,1.06,2.1644,High,27.58333,85.66667
72,C-BAG-27-052,Sitapaila,Kathmandu,Central,1.19,0.18,8.86,1.82,5.34,1.05,2.1618,High,27.69411375,85.28831834642071
73,C-NAR-35-031,Piple,Chitawan,Central,1.84,0.16,5.38,2.53,3.96,1.05,2.1511,High,27.7503287,85.3328491
74,C-BAG-30-008,ChhatreDyaurali,Dhading,Central,2.44,0.08,6.82,5.15,5.99,1.05,2.1482,High,28.0,84.91667
75,C-NAR-31-029,Manahari,Makwanpur,Central,1.3,0.2,4.99,3.64,4.32,1.05,2.1465,High,27.41667,85.25
76,C-BAG-30-014,Goganpani,Dhading,Central,3.29,0.06,6.82,5.15,5.99,1.04,2.1328,High,28.0,84.91667
77,C-JAN-20-016,HariharpurGadhi,Sindhuli,Central,3.94,0.05,5.19,6.55,5.87,1.04,2.1326,High,27.25,86.0
78,C-NAR-31-024,Kankada,Makwanpur,Central,3.22,0.08,4.99,3.64,4.32,1.04,2.1284,High,27.41667,85.25
79,C-NAR-35-006,Birendranagar,Chitawan,Central,1.81,0.15,5.38,2.53,3.96,1.03,2.115,High,27.7503287,85.3328491
80,C-BAG-30-022,Kewalpur,Dhading,Central,3.57,0.05,6.82,5.15,5.99,1.03,2.1147,High,28.0,84.91667
81,C-BAG-27-056,Thankot,Kathmandu,Central,1.66,0.12,8.86,1.82,5.34,1.03,2.1127,High,27.69411375,85.28831834642071
82,C-BAG-27-040,Mulpani,Kathmandu,Central,1.69,0.12,8.86,1.82,5.34,1.03,2.1075,High,27.69411375,85.28831834642071
83,C-NAR-35-026,Mangalpur,Chitawan,Central,1.4,0.2,5.38,2.53,3.96,1.03,2.1041,High,27.7503287,85.3328491
84,C-BAG-26-007,Dadhikot,Bhaktapur,Central,1.97,0.12,8.23,0.89,4.56,1.02,2.0966,High,27.704332,85.452118
85,C-BAG-24-063,NasikasthanSangha,Kavrepalanchok,Central,3.48,0.06,6.46,3.31,4.88,1.02,2.0958,High,27.58333,85.66667
86,C-BAG-30-041,Salyantar,Dhading,Central,2.2,0.08,6.82,5.15,5.99,1.02,2.0932,High,28.0,84.91667
87,C-BAG-30-025,Kiranchok,Dhading,Central,2.88,0.06,6.82,5.15,5.99,1.02,2.093,High,28.0,84.91667
88,W-GAN-36-027,Ghyalchok,Gorkha,Western,2.97,0.06,6.44,5.21,5.83,1.02,2.0893,High,27.97746715,84.60481872992312
89,W-GAN-40-032,Pokhara N. P.,Kaski,Western,0.11,2.62,7.44,0.0,3.72,1.01,2.0704,High,51.340468,18.2985768
90,C-BAG-25-019,Godawari,Lalitpur,Central,2.86,0.08,8.4,0.82,4.61,1.01,2.0662,High,27.5482923,85.32293844156553
91,C-NAR-35-008,ChandiBhanjyang,Chitawan,Central,5.0,0.05,5.38,2.53,3.96,1.0,2.0572,High,27.7503287,85.3328491
92,C-NAR-35-009,Dahakhani,Chitawan,Central,5.18,0.05,5.38,2.53,3.96,1.0,2.0565,High,27.7503287,85.3328491
93,C-JAN-19-076,Parwanipur,Sarlahi,Central,1.82,0.09,4.21,8.35,6.28,1.0,2.05,High,27.0,85.58333
94,W-GAN-36-018,Deurali,Gorkha,Western,3.03,0.06,6.44,5.21,5.83,1.0,2.0496,High,27.97746715,84.60481872992312
95,C-BAG-25-042,Tikathali,Lalitpur,Central,2.07,0.1,8.4,0.82,4.61,1.0,2.0441,High,27.5482923,85.32293844156553
96,C-BAG-24-049,Kushadevi,Kavrepalanchok,Central,2.76,0.07,6.46,3.31,4.88,0.99,2.0394,High,27.58333,85.66667
97,C-NAR-35-032,Pithuwa,Chitawan,Central,1.92,0.13,5.38,2.53,3.96,0.99,2.0353,High,27.7503287,85.3328491
98,C-NAR-31-035,Palung,Makwanpur,Central,3.93,0.06,4.99,3.64,4.32,0.99,2.0341,High,27.41667,85.25
99,C-JAN-18-036,KhayarMara,Mahottari,Central,1.68,0.09,4.33,8.62,6.48,0.99,2.0333,High,26.7061041,85.81594580337756
100,C-BAG-27-050,Seuchatar,Kathmandu,Central,1.33,0.14,8.86,1.82,5.34,0.99,2.0322,High,27.69411375,85.28831834642071
101,C-BAG-23-058,Sangachok,Sindhupalchok,Central,1.47,0.1,6.85,6.57,6.71,0.99,2.0287,High,27.82936,85.54504
102,C-BAG-24-005,BanakhuChor,Kavrepalanchok,Central,4.24,0.05,6.46,3.31,4.88,0.99,2.0273,High,27.58333,85.66667
103,C-BAG-30-039,Salang,Dhading,Central,2.77,0.06,6.82,5.15,5.99,0.99,2.024,High,28.0,84.91667
104,C-BAG-26-017,Sudal,Bhaktapur,Central,2.82,0.07,8.23,0.89,4.56,0.98,2.02,High,27.704332,85.452118
105,W-GAN-36-008,Bhirkot,Gorkha,Western,3.02,0.05,6.44,5.21,5.83,0.98,2.0152,High,27.97746715,84.60481872992312
106,C-BAG-30-032,Muralibhanjyang,Dhading,Central,2.12,0.07,6.82,5.15,5.99,0.98,2.0128,High,28.0,84.91667
107,C-NAR-31-006,Bhaise,Makwanpur,Central,3.18,0.07,4.99,3.64,4.32,0.98,2.0126,High,27.41667,85.25
108,C-BAG-28-018,Duipipal,Nuwakot,Central,1.99,0.08,5.91,5.85,5.88,0.98,2.0054,High,27.91447,85.16478
109,C-JAN-20-039,Pipalmadi,Sindhuli,Central,2.04,0.08,5.19,6.55,5.87,0.98,2.0043,High,27.25,86.0
110,C-BAG-27-014,Daanchhi,Kathmandu,Central,1.51,0.12,8.86,1.82,5.34,0.98,2.0025,High,27.69411375,85.28831834642071
111,C-NAR-31-040,ShreepurChhatiwan,Makwanpur,Central,1.01,0.21,4.99,3.64,4.32,0.97,1.9968,High,27.41667,85.25
112,C-BAG-26-005,Chhaling,Bhaktapur,Central,2.41,0.08,8.23,0.89,4.56,0.97,1.9925,High,27.704332,85.452118
113,W-GAN-38-004,Bandipur,Tanahu,Western,1.36,0.13,6.43,4.04,5.24,0.97,1.9885,High,27.97364295,84.2695509
114,C-BAG-27-032,KhadkaBhadrakali,Kathmandu,Central,1.54,0.11,8.86,1.82,5.34,0.97,1.9837,High,27.69411375,85.28831834642071
115,C-NAR-31-001,Agara,Makwanpur,Central,2.61,0.08,4.99,3.64,4.32,0.97,1.9831,High,27.41667,85.25
116,C-BAG-30-033,Nalang,Dhading,Central,1.82,0.08,6.82,5.15,5.99,0.97,1.9803,High,28.0,84.91667
117,C-NAR-35-020,Kaule,Chitawan,Central,3.95,0.06,5.38,2.53,3.96,0.96,1.9789,High,27.7503287,85.3328491
118,C-NAR-35-018,Kabilas,Chitawan,Central,3.79,0.06,5.38,2.53,3.96,0.96,1.9758,High,27.7503287,85.3328491
119,C-BAG-30-023,Khalte,Dhading,Central,2.03,0.07,6.82,5.15,5.99,0.96,1.9749,High,28.0,84.91667
120,C-BAG-25-014,Dhapakhel,Lalitpur,Central,1.47,0.13,8.4,0.82,4.61,0.96,1.9673,High,27.5482923,85.32293844156553
121,C-BAG-24-018,Dandagaun,Kavrepalanchok,Central,5.55,0.03,6.46,3.31,4.88,0.95,1.9524,High,27.58333,85.66667
122,C-JAN-20-045,Santeswori(Rampur),Sindhuli,Central,5.25,0.03,5.19,6.55,5.87,0.95,1.9507,High,27.25,86.0
123,C-NAR-34-020,BirgunjN. P.,Parsa,Central,0.11,1.39,4.85,6.07,5.46,0.95,1.9481,High,26.8728031,85.65331426924136
124,C-BAG-30-046,Sunaulabazar,Dhading,Central,2.11,0.07,6.82,5.15,5.99,0.95,1.9471,High,28.0,84.91667
125,C-BAG-30-007,Chainpur,Dhading,Central,2.13,0.07,6.82,5.15,5.99,0.94,1.9261,High,28.0,84.91667
126,W-GAN-36-014,Chhoprak,Gorkha,Western,2.28,0.06,6.44,5.21,5.83,0.93,1.9073,High,27.97746715,84.60481872992312
127,C-BAG-24-062,Nala(Ugrachandi),Kavrepalanchok,Central,2.23,0.07,6.46,3.31,4.88,0.93,1.9065,High,27.58333,85.66667
128,C-BAG-30-019,Jyamrung,Dhading,Central,1.86,0.07,6.82,5.15,5.99,0.93,1.9032,High,28.0,84.91667
129,C-NAR-31-037,Raksirang,Makwanpur,Central,2.75,0.07,4.99,3.64,4.32,0.93,1.9031,High,27.41667,85.25
130,C-NAR-31-008,Bhimfedi,Makwanpur,Central,3.31,0.06,4.99,3.64,4.32,0.93,1.9022,High,27.41667,85.25
131,C-NAR-31-010,Chitlang,Makwanpur,Central,3.58,0.05,4.99,3.64,4.32,0.93,1.9017,High,27.41667,85.25
132,C-BAG-26-008,Duwakot,Bhaktapur,Central,1.62,0.11,8.23,0.89,4.56,0.92,1.8961,High,27.704332,85.452118
133,C-BAG-25-028,Lamatar,Lalitpur,Central,2.03,0.08,8.4,0.82,4.61,0.92,1.8933,High,27.5482923,85.32293844156553
134,C-JAN-17-048,JanakpurN.P.,Dhanusa,Central,0.13,1.0,4.78,7.7,6.24,0.92,1.8895,High,26.72165635,85.93321014042056
135,W-GAN-36-036,Khoplang,Gorkha,Western,2.52,0.05,6.44,5.21,5.83,0.92,1.889,High,27.97746715,84.60481872992312
136,C-JAN-20-037,Netrakali,Sindhuli,Central,3.8,0.03,5.19,6.55,5.87,0.92,1.8852,High,27.25,86.0
137,C-BAG-24-021,DeuvumiBaluwa,Kavrepalanchok,Central,2.16,0.07,6.46,3.31,4.88,0.92,1.8822,High,27.58333,85.66667
138,C-NAR-31-017,Gogane,Makwanpur,Central,3.25,0.05,4.99,3.64,4.32,0.92,1.8788,High,27.41667,85.25
139,C-BAG-25-021,Harisiddhi,Lalitpur,Central,1.49,0.11,8.4,0.82,4.61,0.91,1.8683,High,27.5482923,85.32293844156553
140,C-JAN-20-021,JhangajholiRalmata,Sindhuli,Central,2.29,0.05,5.19,6.55,5.87,0.9,1.8501,High,27.25,86.0
141,C-JAN-19-040,Hariyon,Sarlahi,Central,0.56,0.21,4.21,8.35,6.28,0.9,1.849,High,27.0,85.58333
142,W-GAN-36-058,Taklung,Gorkha,Western,2.44,0.05,6.44,5.21,5.83,0.9,1.8488,High,27.97746715,84.60481872992312
143,W-GAN-36-047,Palumtar,Gorkha,Western,1.49,0.08,6.44,5.21,5.83,0.9,1.8423,High,27.97746715,84.60481872992312
144,C-NAR-35-024,Lothar,Chitawan,Central,3.53,0.05,5.38,2.53,3.96,0.9,1.8409,High,27.7503287,85.3328491
145,W-GAN-36-011,Borlang,Gorkha,Western,2.4,0.05,6.44,5.21,5.83,0.9,1.8406,High,27.97746715,84.60481872992312
146,C-NAR-31-039,Shikharpur,Makwanpur,Central,2.76,0.06,4.99,3.64,4.32,0.9,1.8383,High,27.41667,85.25
147,C-BAG-26-001,Bageswari,Bhaktapur,Central,2.85,0.06,8.23,0.89,4.56,0.9,1.8364,High,27.704332,85.452118
148,C-BAG-26-015,Sipadol,Bhaktapur,Central,1.55,0.1,8.23,0.89,4.56,0.9,1.8356,High,27.704332,85.452118
149,C-BAG-24-055,MahendraJyoti,Kavrepalanchok,Central,4.2,0.03,6.46,3.31,4.88,0.89,1.8351,High,27.58333,85.66667
150,C-BAG-27-011,Chhaimale,Kathmandu,Central,3.09,0.04,8.86,1.82,5.34,0.89,1.8325,High,27.69411375,85.28831834642071
151,C-BAG-28-004,Belkot,Nuwakot,Central,1.54,0.08,5.91,5.85,5.88,0.89,1.832,High,27.91447,85.16478
152,C-BAG-27-015,Daxinkali,Kathmandu,Central,2.73,0.05,8.86,1.82,5.34,0.89,1.8293,High,27.69411375,85.28831834642071
153,C-BAG-27-020,Gokarneswor,Kathmandu,Central,1.72,0.08,8.86,1.82,5.34,0.89,1.8274,High,27.69411375,85.28831834642071
154,C-BAG-27-057,Tinthana,Kathmandu,Central,1.32,0.1,8.86,1.82,5.34,0.89,1.8257,High,27.69411375,85.28831834642071
155,C-BAG-24-028,Falametar,Kavrepalanchok,Central,3.32,0.04,6.46,3.31,4.88,0.89,1.8244,High,27.58333,85.66667
156,C-BAG-25-030,Lubhu,Lalitpur,Central,1.43,0.11,8.4,0.82,4.61,0.89,1.8224,High,27.5482923,85.32293844156553
157,C-BAG-26-018,Tathali,Bhaktapur,Central,2.6,0.06,8.23,0.89,4.56,0.88,1.8147,High,27.704332,85.452118
158,C-BAG-30-042,Sangkosh,Dhading,Central,2.04,0.06,6.82,5.15,5.99,0.88,1.8132,High,28.0,84.91667
159,C-BAG-25-040,Thecho,Lalitpur,Central,1.44,0.1,8.4,0.82,4.61,0.88,1.8093,High,27.5482923,85.32293844156553
160,C-BAG-27-010,ChapaliBhadrakali,Kathmandu,Central,1.14,0.11,8.86,1.82,5.34,0.88,1.8002,High,27.69411375,85.28831834642071
161,C-NAR-31-044,TistungDeurali,Makwanpur,Central,2.17,0.07,4.99,3.64,4.32,0.88,1.7996,High,27.41667,85.25
162,C-NAR-32-019,Chandranigahapur,Rautahat,Central,0.37,0.27,4.38,9.14,6.76,0.88,1.797,High,27.0,85.33333
163,C-NAR-31-023,Kalikatar,Makwanpur,Central,3.22,0.05,4.99,3.64,4.32,0.88,1.7967,High,27.41667,85.25
164,C-JAN-20-040,PuranoJhangajholi,Sindhuli,Central,2.37,0.05,5.19,6.55,5.87,0.88,1.7962,High,27.25,86.0
165,C-BAG-24-076,ShankhupatiChour,Kavrepalanchok,Central,3.97,0.03,6.46,3.31,4.88,0.88,1.7951,High,27.58333,85.66667
166,W-GAN-38-007,Bhanu,Tanahu,Western,0.94,0.14,6.43,4.04,5.24,0.87,1.7907,High,27.97364295,84.2695509
167,C-JAN-20-042,Ranichuri,Sindhuli,Central,1.24,0.09,5.19,6.55,5.87,0.87,1.786,High,27.25,86.0
168,C-BAG-24-052,Mahadevsthan,Kavrepalanchok,Central,1.61,0.08,6.46,3.31,4.88,0.87,1.7838,High,27.58333,85.66667
169,C-JAN-20-001,Amale,Sindhuli,Central,4.82,0.02,5.19,6.55,5.87,0.87,1.7822,High,27.25,86.0
170,C-BAG-30-047,Tasarpu,Dhading,Central,2.06,0.05,6.82,5.15,5.99,0.87,1.7789,High,28.0,84.91667
171,C-BAG-24-001,Anekot,Kavrepalanchok,Central,1.84,0.07,6.46,3.31,4.88,0.87,1.7789,High,27.58333,85.66667
172,C-JAN-20-008,Bhadrakali,Sindhuli,Central,2.46,0.05,5.19,6.55,5.87,0.87,1.7789,High,27.25,86.0
173,C-NAR-31-038,SarikhetPalase,Makwanpur,Central,1.75,0.09,4.99,3.64,4.32,0.87,1.7773,High,27.41667,85.25
174,C-NAR-35-022,Korak,Chitawan,Central,2.43,0.07,5.38,2.53,3.96,0.86,1.7737,High,27.7503287,85.3328491
175,C-BAG-27-021,Goldhunga,Kathmandu,Central,0.73,0.17,8.86,1.82,5.34,0.86,1.7704,High,27.69411375,85.28831834642071
176,W-GAN-36-016,Chyngli,Gorkha,Western,1.68,0.06,6.44,5.21,5.83,0.86,1.7584,High,27.97746715,84.60481872992312
177,W-GAN-36-009,Bhumlichok,Gorkha,Western,2.97,0.04,6.44,5.21,5.83,0.86,1.7565,High,27.97746715,84.60481872992312
178,C-NAR-35-019,Kathar,Chitawan,Central,1.6,0.1,5.38,2.53,3.96,0.86,1.7562,High,27.7503287,85.3328491
179,C-NAR-31-007,BhartaPundyadevi,Makwanpur,Central,3.38,0.04,4.99,3.64,4.32,0.85,1.7531,High,27.41667,85.25
180,C-JAN-20-029,KusesworDumja,Sindhuli,Central,2.08,0.05,5.19,6.55,5.87,0.85,1.7501,High,27.25,86.0
181,C-NAR-31-028,Makwanpurgadhi,Makwanpur,Central,1.09,0.13,4.99,3.64,4.32,0.85,1.7474,High,27.41667,85.25
182,C-NAR-31-013,Dandakharka,Makwanpur,Central,3.46,0.04,4.99,3.64,4.32,0.85,1.7443,High,27.41667,85.25
183,C-NAR-31-004,Basamadi,Makwanpur,Central,0.81,0.18,4.99,3.64,4.32,0.85,1.7442,High,27.41667,85.25
184,C-JAN-21-031,Lakhanpur,Ramechhap,Central,1.46,0.06,7.16,6.06,6.61,0.85,1.7422,High,27.32175065,86.12617906663053
185,C-NAR-31-015,Fakhel,Makwanpur,Central,3.04,0.05,4.99,3.64,4.32,0.85,1.7391,High,27.41667,85.25
186,C-JAN-20-006,Bastipur,Sindhuli,Central,3.25,0.03,5.19,6.55,5.87,0.84,1.7231,High,27.25,86.0
187,C-BAG-24-024,Dhunkharka,Kavrepalanchok,Central,2.41,0.05,6.46,3.31,4.88,0.84,1.7224,Medium-High,27.58333,85.66667
188,W-GAN-36-022,Fujel,Gorkha,Western,2.11,0.05,6.44,5.21,5.83,0.84,1.7218,Medium-High,27.97746715,84.60481872992312
189,C-BAG-30-021,Katunje,Dhading,Central,1.63,0.06,6.82,5.15,5.99,0.84,1.7211,Medium-High,28.0,84.91667
190,C-BAG-24-041,KavreNitya Chandeswor,Kavrepalanchok,Central,2.39,0.05,6.46,3.31,4.88,0.84,1.72,Medium-High,27.58333,85.66667
191,C-NAR-31-031,Markhu,Makwanpur,Central,4.29,0.03,4.99,3.64,4.32,0.84,1.7129,Medium-High,27.41667,85.25
192,W-GAN-38-011,Byas N. P.,Tanahu,Western,0.25,0.44,6.43,4.04,5.24,0.83,1.7113,Medium-High,27.97364295,84.2695509
193,C-BAG-28-042,Okharpauwa,Nuwakot,Central,1.21,0.08,5.91,5.85,5.88,0.83,1.7065,Medium-High,27.91447,85.16478
194,C-BAG-25-039,Thaiba,Lalitpur,Central,1.47,0.08,8.4,0.82,4.61,0.83,1.7061,Medium-High,27.5482923,85.32293844156553
